4,9,4,8,116,6
0,37,1,1,0,0
17,0,1,0,0,0
2,18,1,0,0,0
1195,3460,748,269,130,90
145,6,3,7,73,3
671,369,72,41,19,20
302,1160,134,42,26,38
144,3,2,2,4,1
451,6,3,9,10,9
217,53,374,38,9,17
35,0,2,1,0,4
140,2,1,3,3,3
2,3,5,27,64,5
1,3,2,5,34,1
29,53,65,159,957,28
7,12,8,193,237,18
3,5,4,15,47,3
24,27,33,29,565,21
10,16,33,110,151,7
7,14,10,18,104,7
9,10,10,173,100,9
2,1,0,0,0,0
1,0,0,0,0,0
2,1,5,2,4,17
3,3,4,7,10,1
1,3,2,5,5,20
7,3,4,4,7,37
2,2,5,3,24,1
3,3,13,16,13,15
3,3,6,5,15,10
4,5,2,7,12,5
1,1,2,1,1,6
3,5,1,5,102,1
5,8,15,94,83,113
1,1,3,1,1,19
13,12,28,126,26,70
13,21,30,140,439,41
2,1,2,3,4,17
5,5,6,14,49,31
3,2,11,4,102,1
3,8,5,8,3,21
21,11,26,23,292,168
5,6,5,18,66,35
2,1,5,1,3,30
9,6,2,4,48,103
2,5,4,4,2,112
5,4,4,7,6,112
2,2,12,15,17,117
1,1,3,1,2,4
1,1,2,4,8,21
8,2,3,4,3,26
1,5,2,11,2,4
3,3,5,3,2,72
4,4,2,4,2,61
2,2,1,1,0,0
2,2,4,3,3,24
2,1,2,1,5,6
4,6,4,36,106,13
1,4,1,1,2,25
4,5,11,119,112,21
9,6,7,6,17,324
1,1,1,1,1,27
3,6,5,7,2,121
2,3,3,4,26,86
2,2,5,0,2,0
2,6,6,7,9,6
3,2,6,2,60,2
3,2,8,6,10,3
4,9,14,57,12,21
1,4,1,6,5,33
1,2,1,9,4,6
2,4,5,14,5,66
4,5,7,1,6,71
7,2,7,4,18,131
4,7,3,10,17,164
3,1,1,5,5,1
5,5,4,30,5,13
4,4,2,3,16,2
1,1,1,1,1,1
1,1,2,2,3,45
4,2,2,1,3,12
1,1,0,0,0,0
19,25,24,14,15,927
3,5,4,4,4,175
9,12,13,16,402,6
2,1,12,40,4,2
10,3,11,16,64,18
4,5,2,2,3,70
1,4,2,7,1,5
5,6,2,10,1,97
2,3,4,3,0,129
2,3,3,3,11,68
4,5,4,6,1,97
1,1,1,1,1,0
1,0,0,0,0,0
4,16,7,23,20,3
2,1,2,1,1,1
5,2,2,0,1,0
3,12,5,6,7,2
3,3,4,9,8,4
28,5,1,14,4,1
5,4,13,24,5,1
9,15,176,187,200,11
48,46,739,1231,782,47
0,0,0,0,0,0
9,5,274,79,143,7
24,22,184,432,480,19
1,0,0,0,0,3
6,6,29,43,79,4
27,1,12,10,13,2
4,2,6,7,8,2
3,7,22,28,18,3
14,12,124,128,75,15
1,4,1,2,2,2
13,17,114,288,240,16
13,29,276,124,145,28
1,1,2,1,2,5
16,30,306,156,168,23
4,15,8,6,6,30
2,2,4,7,4,9
2,1,1,0,0,0
1,0,0,0,0,0
8,10,3,8,12,8
1,1,1,1,1,1
5,0,3,0,0,0
4,2,3,6,2,1
4,1,2,5,3,2
22,10,6,32,6,6
2,5,24,5,2,1
4,5,52,71,63,3
20,11,257,189,156,10
3,2,0,0,0,0
4,6,10,15,13,21
10,13,44,46,43,71
2,1,0,1,0,0
1,1,0,0,0,0
14,93,1,0,0,1
5,1,3,0,0,0
10,12,124,220,66,6
19,20,363,128,126,10
1,1,1,2,1,1
27,16,16,16,17,624
1,4,2,4,3,93
2,0,0,0,0,0
2,15,8,15,6,64
2,1,1,0,0,0
2,1,1,1,1,5
1,1,1,1,1,2
1,2,1,1,0,0
6,2,1,2,1,8
0,0,0,0,0,0
3,0,0,0,0,0
5,2,0,0,0,0
1,1,2,2,1,0
35,6,12,36,7,9
28,1,1,5,1,0
2,2,7,12,13,1
1,1,1,1,1,1
5,1,0,0,1,0
1,6,1,2,1,5
1,2,6,6,3,7
1,0,0,0,0,0
5,0,0,0,0,0
67,25,3,7,3,239
1,0,0,0,0,41
14,19,101,200,356,6
4,5,29,14,18,2
1,1,2,1,1,5
3,1,1,2,2,35
1,3,5,13,1,11
4,1,1,1,3,2
3,0,0,0,1,13
4,54,3,0,1,0
9,8,1,0,3,0
2,3,1,5,7,7
3,1,1,2,1,1
3,10,22,16,82,3
5,3,15,26,52,5
2,2,1,1,1,1
6,19,7,57,70,3
6,7,41,37,15,4
3,2,16,5,4,1
3,10,20,14,30,2
7,10,12,11,15,1
17,17,97,167,53,8
1,1,2,1,1,1
5,10,25,8,25,1
25,66,14,68,12,5
2,1,1,1,1,1
3,3,9,2,5,8
2,5,1,1,3,2
3,2,6,2,2,2
3,5,15,49,23,1
7,9,21,22,8,2
2,8,4,14,3,14
11,9,22,52,39,30
9,28,13,11,8,14
5,11,10,7,5,16
6,22,14,82,64,7
1,7,4,1,1,1
5,7,5,7,17,9
3,3,8,3,2,3
1,1,1,0,0,0
7,3,19,33,10,4
11,7,18,10,10,5
1,1,4,1,2,1
6,35,19,7,8,4
2,6,7,44,15,18
1,2,16,1,1,2
3,3,9,19,6,5
4,5,4,7,4,3
9,13,50,17,19,3
3,1,1,0,0,0
4,1,13,10,6,7
9,9,37,11,43,4
1,1,2,0,0,3
2,2,3,1,1,1
1,1,4,0,0,0
1,1,2,1,1,4
3,9,11,38,45,9
9,15,21,18,12,5
6,11,15,20,10,1
9,11,14,6,10,92
3,5,5,2,3,23
1,3,2,1,1,22
1,3,1,1,1,45
1,2,2,1,1,1
1,1,3,1,4,11
3,4,7,8,7,7
1,1,0,0,0,0
5,1,1,1,1,3
2,4,4,3,3,7
3,1,2,1,0,0
8,0,6,1,2,12
5,26,19,3,2,5
2,1,1,1,2,0
8,1,23,1,1,5
4,3,3,4,3,1
3,2,1,1,1,1
1,1,0,0,0,0
1,4,1,1,1,2
3,13,3,2,2,6
1,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
3,4,1,2,0,0
4,12,29,127,47,6
5,4,2,2,2,3
2,2,4,8,4,5
3,2,3,2,4,70
7,1,22,0,1,0
2,1,1,3,5,25
5,24,38,2,60,1
18,2,0,0,0,0
3,4,102,1,2,0
7,21,34,145,147,5
6,2,4,105,30,5
183,112,202,1076,3635,94
24,50,76,248,659,22
16,19,14,40,161,7
113,71,199,1157,1401,55
17,24,17,223,545,13
48,50,45,34,388,12
32,52,62,521,328,15
1,2,1,1,1,3
1,1,2,1,1,1
8,3,19,30,15,10
5,6,6,39,22,2
24,12,26,23,31,27
25,22,18,73,50,7
3,3,8,61,51,6
30,12,12,420,109,11
13,21,17,36,142,6
7,3,12,7,12,2
1,1,2,5,1,3
25,17,86,104,116,11
15,39,134,173,428,23
3,9,38,24,46,15
22,40,111,215,441,51
41,45,708,606,856,48
5,5,25,11,14,11
16,12,9,39,234,7
16,29,16,293,191,9
15,18,5,80,162,8
210,148,602,943,820,73
18,27,32,24,111,141
23,7,9,96,28,5
54,23,24,157,206,19
14,12,30,42,234,46
25,23,15,41,181,11
10,50,34,66,190,29
7,2,3,11,7,4
17,6,45,47,17,21
11,20,27,140,31,14
3,4,3,10,17,3
70,38,56,184,13,236
13,111,17,3,9,215
3,3,5,7,12,2
38,4,4,86,11,18
9,22,8,5,1,6
10,18,133,136,98,4
4,39,14,51,25,4
25,92,142,545,102,22
36,27,47,114,58,840
3,11,0,3,0,87
10,165,15,13,9,178
12,13,116,48,54,148
1,1,2,1,1,3
1,3,1,1,2,40
7,6,65,108,37,9
45,6,21,47,115,7
32,46,29,41,201,6
10,9,6,26,5,16
6,17,5,10,4,13
64,12,2,8,10,65
5,8,17,18,15,65
37,23,23,33,34,122
53,56,50,100,51,38
5,12,9,49,9,1
56,17,13,611,28,26
44,20,11,96,90,4
1,1,0,0,0,0
2,107,1,1,4,0
2,21,0,2,0,0
4,6,0,0,0,0
245,24,245,15,19,321
70,68,19,4,4,0
28,50,131,643,789,22
4,5,17,113,8,3
20,7,43,216,72,7
2,14,6,1,3,55
11,0,0,0,0,0
64,32,1,2,1,1
3,112,2,3,3,1
2,70,2,0,4,0
39,2,2,0,4,48
1,5,4,3,3,1
10,2,1,1,3,1
113,256,137,95,222,11
4,8,4,32,25,2
43,14,10,16,5,1
108,29,148,109,27,10
5,4,7,36,79,5
144,72,163,325,31,15
83,7,87,72,70,6
35,108,589,289,600,29
154,594,2315,2480,2606,158
2,1,4,1,1,0
34,45,530,280,503,30
61,69,821,1325,972,64
40,4,3,3,17,0
15,9,74,123,111,8
167,34,133,53,60,10
23,4,100,27,11,4
4,38,49,36,21,18
21,280,127,227,183,11
3,6,4,2,12,8
41,96,301,461,702,46
24,387,489,104,246,30
2,2,4,5,7,19
33,30,453,606,483,66
10,6,27,54,20,4
2,2,11,5,11,13
3,4,6,3,2,2
37,5,5,0,1,0
69,106,165,106,29,19
6,11,8,14,11,5
24,6,10,2,8,3
32,10,25,7,11,28
2,3,19,28,47,3
204,21,97,259,50,5
8,59,1,155,3,2
14,26,315,57,164,8
74,89,598,823,451,32
12,17,1,21,1,22
7,16,21,24,19,189
165,97,156,87,45,82
83,10,1,16,1,0
6,7,21,32,18,22
106,56,95,15,37,26
0,1,3,17,1,34
28,32,314,344,161,18
37,346,205,299,331,21
6,23,5,7,6,9
47,34,27,36,27,1663
10,13,7,5,4,172
2,1,11,2,1,0
12,32,57,59,57,58
3,2,3,1,4,2
1,2,1,1,1,19
2,1,1,2,1,2
37,1,2,1,0,1
3,0,68,3,3,2
3,1,0,0,0,0
2,1,0,0,0,0
5,11,1,4,0,0
3,3,16,3,5,2
140,14,66,122,6,187
29,7,124,3,2,17
5,7,11,13,14,1
155,31,189,50,35,12
43,4,101,2,5,1
3,1,2,1,1,20
13,0,4,1,2,15
4,7,0,0,0,0
2,1,1,8,1,4
447,166,123,27,25,1026
276,5,6,5,4,60
31,77,255,674,291,24
5,15,20,33,71,4
4,2,1,4,4,1
5,3,5,1,4,57
11,0,1,0,1,1
1,3,0,1,0,0
21,15,0,8,1,0
60,1,1,2,3,2
16,0,0,0,0,0
4,17,15,11,53,11
1,3,10,10,2,1
75,133,1519,753,239,56
37,120,521,322,162,21
17,31,67,19,2,4
36,266,908,290,297,29
39,145,491,527,201,23
9,74,82,20,3,5
16,37,429,281,20,19
82,67,31,72,59,8
288,983,135,317,123,37
2,106,1,3,8,3
26,109,206,95,100,13
86,492,360,447,91,26
6,3,92,1,3,1
35,17,67,43,28,8
30,22,3,8,2,1
5,2,33,7,5,2
10,24,15,67,22,5
25,142,40,16,21,7
8,7,125,58,9,7
22,46,173,301,152,14
41,122,106,140,71,9
24,89,205,7,63,27
29,83,198,263,270,17
3,39,23,6,4,8
15,5,81,13,30,17
7,28,55,25,14,23
4,12,8,1,0,2
49,75,781,165,109,18
55,168,315,160,356,17
3,20,101,5,5,9
14,93,541,166,49,12
47,62,498,485,49,39
11,68,82,5,6,13
54,80,292,95,23,22
13,24,100,72,81,9
27,470,39,34,19,15
7,57,39,0,2,8
126,423,19,113,130,28
158,399,136,165,276,24
8,76,0,3,0,1
2,3,33,35,24,12
1,1,47,9,0,1
4,2,1,5,15,9
29,74,236,39,123,10
24,188,21,78,95,8
24,116,182,105,40,18
18,129,33,21,78,613
61,50,119,5,5,15
7,5,7,6,4,160
11,56,83,8,16,116
7,1,0,1,0,28
4,16,2,44,4,4
3,6,20,21,27,2
3,0,0,0,1,0
3,1,24,1,1,5
7,20,42,4,17,70
12,1,1,0,1,0
59,12,7,2,2,22
52,6,71,13,6,122
7,19,0,0,0,0
7,106,2,46,2,1
5,8,13,21,4,1
2,2,6,10,0,3
3,0,9,0,0,0
3,3,16,6,2,3
16,20,1,4,2,3
1,1,5,0,0,0
11,1,0,9,0,0
16,0,1,0,0,0
1,7,0,0,1,0
43,234,342,160,123,10
5,44,23,26,24,3
12,36,128,3,27,2
9,3,7,6,5,226
2,2,57,3,0,5
2,3,70,1,0,0
7,2,7,6,8,236
2,1,1,2,26,0
4,8,126,3,2,5
9,27,17,60,18,3
12,45,20,18,10,3
1035,1342,1596,1255,999,99
100,163,89,144,52,12
54,74,96,65,55,8
679,634,933,2462,853,94
75,48,80,167,127,11
164,154,28,284,46,15
285,175,440,350,426,36
1,2,2,1,1,2
3,0,0,0,0,2
9,39,4,6,5,13
6,3,16,22,21,4
86,10,69,86,6,46
48,27,125,180,15,7
23,5,16,37,30,5
520,204,427,768,49,48
248,35,104,68,21,5
6,3,10,2,1,9
1,4,1,1,1,0
26,45,17,6,10,27
39,101,258,132,49,10
9,4,2,2,2,43
34,125,326,56,36,33
100,300,562,367,208,33
6,24,16,23,4,11
17,32,185,48,8,8
41,30,38,135,42,6
80,161,257,62,25,10
784,1011,796,1850,620,161
9,29,21,24,73,13
62,63,58,23,10,5
116,82,221,324,36,30
59,32,28,42,20,17
60,51,23,75,18,11
87,74,99,114,34,30
5,1,8,2,1,3
33,78,84,3,4,31
43,213,93,15,9,4
7,7,2,5,3,2
464,181,546,30,21,73
244,221,60,13,8,31
7,3,8,7,5,5
25,3,34,187,2,17
36,1,1,3,1,58
10,37,100,81,41,7
2,11,2,2,2,10
128,201,110,24,31,11
90,31,108,19,22,464
62,1,1,0,2,3
163,7,56,32,3,2
63,47,5,3,5,163
9,0,0,1,0,0
14,26,0,1,0,0
69,11,22,25,30,2
186,130,170,87,32,11
282,47,61,365,50,14
5,14,1,1,1,1
1,38,11,1,0,1
18,159,1,3,4,50
12,11,17,2,4,1
58,9,4,21,10,51
12,3,233,3,6,57
1,11,1,0,0,0
618,486,919,39,36,49
240,83,126,43,27,23
4,0,0,0,0,0
138,1,2,1,1,2
28,0,1,2,0,0
7,0,0,0,0,1
176,26,3,2,7,30
79,1,1,2,2,0
83,101,82,186,67,13
6,4,11,24,5,3
127,126,49,108,15,8
41,1,1,0,0,0
10,0,0,0,0,0
63,0,2,0,1,3
40,2,0,1,0,0
19,0,0,0,1,0
55,3,1,2,1,2
7,7,3,6,3,2
107,28,5,2,4,0
7774,6663,7283,1154,454,397
2,7,7,20,23,3
124,229,67,8,11,2
5111,4569,7335,504,313,321
3,1,0,22,8,1
747,758,652,31,44,36
940,1176,1486,162,69,61
16,10,54,34,93,3
52,379,135,200,108,19
12,0,0,6,0,1
11,55,32,54,50,4
207,670,542,355,268,36
565,614,509,33,40,35
9,9,18,26,22,4
4662,3471,5044,239,229,225
593,1520,1610,75,76,70
2,9,8,3,2,7
10,26,11,5,6,12
2,1,1,7,0,1
41,23,46,57,87,23
12,53,13,17,49,19
7,6,2,0,25,2
15,58,19,84,66,24
9,6,4,2,1,17
1,8,6,1,17,0
8,3,11,4,3,1
466,221,294,10,19,19
5198,5971,5393,500,292,1158
2,3,1,2,3,1
196,3,21,7,5,96
675,636,330,41,41,111
2,2,1,1,1,0
291,4,280,9,10,11
185,11,247,12,11,35
5,27,17,88,26,2
241,658,319,286,220,32
447,631,101,36,21,308
5,5,17,11,12,20
2056,1403,1428,103,95,679
830,374,1244,41,40,592
2,1,2,1,1,1
470,347,227,34,29,660
589,7,8,5,8,22
11,58,39,19,21,2
20,28,39,23,17,5
4,34,3,3,4,3
11,13,7,5,8,195
1,0,1,7,1,25
3,21,1,2,2,0
3,8,1,1,1,35
4,0,0,2,0,0
0,0,13,0,0,0
11,1,0,0,0,1
834,165,55,16,20,16
825,462,683,43,44,30
6,0,1,0,0,0
31,2,2,1,0,0
81,2,1,2,0,2
3,0,0,0,1,0
259,2,6,3,2,7
3,135,2,2,2,4
2,3,3,2,1,0
5231,3615,4992,258,239,225
1233,1275,1231,60,91,74
3,0,0,0,0,1
339,10,9,8,8,92
171,1,4,2,2,5
2,0,1,0,1,0
598,100,156,30,30,754
483,150,16,13,17,12
8,12,80,21,47,6
9,7,4,5,4,3
3,31,0,0,0,6
1,10,0,1,0,0
0,0,0,0,0,3
0,0,0,10,0,0
20,1,0,0,0,1
91,3,4,0,0,0
11,0,0,1,0,0
86,182,208,34,10,10
3,4,217,4,5,5
2209,7205,2621,394,264,222
363,729,467,53,25,30
62,263,5,7,3,5
1733,6406,2590,341,194,202
99,344,426,111,14,18
232,6,2,4,3,6
795,1638,834,155,52,55
7,203,5,3,4,7
90,792,19,24,21,16
182,23,2,2,7,6
183,251,20,25,9,12
424,786,42,27,35,19
15,625,27,11,16,15
139,7,9,7,5,1
341,426,93,15,14,16
335,19,4,6,4,5
4,99,10,7,5,2
15,137,0,0,2,5
26,266,11,4,6,6
66,810,189,72,62,36
250,26,3,19,8,5
381,719,119,29,29,27
487,1137,399,63,68,29
3,208,4,4,4,2
322,299,30,12,10,11
14,461,189,10,11,13
101,28,139,5,5,19
1782,3543,2021,288,162,151
174,195,285,15,17,10
12,213,3,8,2,4
186,1439,391,48,47,51
218,61,8,20,17,17
57,1,2,3,3,2
265,602,30,19,15,14
27,379,15,21,11,8
97,423,10,8,11,7
170,221,16,6,5,6
99,239,20,18,77,16
505,735,34,19,19,24
342,9,8,6,8,12
23,41,2,1,2,3
80,4,0,7,2,2
24,49,0,0,0,2
98,275,404,79,78,19
158,63,27,7,9,5
61,912,288,39,23,28
732,418,164,40,38,730
6,379,11,13,9,11
687,147,23,13,13,14
105,223,6,9,8,101
37,0,0,1,1,1
38,88,1,4,2,1
132,1,3,5,2,2
79,0,2,2,2,2
222,279,58,8,6,6
58,4,0,1,3,1
9,0,0,0,0,0
123,1,1,4,3,2
15,2,4,2,0,34
3,24,1,1,0,0
4,23,152,3,5,12
63,2,0,0,0,3
375,56,192,6,10,9
194,5,2,3,3,4
22,1,0,0,1,0
20,0,0,3,6,0
9,0,0,0,0,0
15,0,0,0,0,0
41,1,0,0,0,0
16,0,1,0,2,0
460,1814,351,90,54,46
157,2,2,2,1,1
572,431,38,16,14,9
9,228,7,9,7,253
26,0,61,3,1,9
2,2,1,128,3,1
93,5,3,4,2,108
31,0,0,0,0,0
107,4,2,0,3,3
